X,Y,Z,Grade
200.57823879737998,301.2625764516771,0.15235853987721568,0.05994698875264945
199.0592546914144,298.7222443035133,4.480007946879752,0.8496961312363683
198.26833776861352,301.936556709183,10.375225597903228,0.02963564832841767
200.32550613021002,301.17244466271853,15.470282358195607,1.1212374561103406
199.30254985550312,299.07529641467085,19.024482405673083,0.9358650680301703
197.44862735332416,297.73342557199305,24.348910246568842,0.3887662905470437
200.28485147214113,301.3809707081355,30.06392020158364,0.4028062995242624
201.2511807879347,299.3813069205595,34.84187870382821,0.521981930171314
199.27389230686987,299.23652421200336,39.991599421247855,0.338176436814686
199.06119531959456,300.0249882374554,44.57347803621321,0.8684706861821985
201.33077021794557,299.8030290309812,50.43969898743141,0.33245451242981616
196.62533113208394,297.1057750551538,55.388895967714475,0.01
200.79954845344687,298.1890418892799,60.03301534878061,0.7592416331313512
199.28747205787715,301.47503113693415,65.56362060348401,0.1752867005868946
198.09995589017885,299.32193384819885,70.23375467112602,0.4611201076806306
200.8688472870917,300.47547120466453,74.57035376855838,0.01
200.14425901542774,298.9410145818724,80.18437539204125,0.6088516729810385
203.20355778264184,299.52128874505394,84.52055869958551,0.2742633776137546
200.43999336794354,302.7183751504809,90.43922515065364,1.0823144841595964
202.9266057824391,297.6224738913543,94.97503704450688,0.021734679571798976
199.22038039368846,297.2466277048874,99.90756881822738,0.7644155146540196
197.0583874109947,297.96884183758493,104.65953522779803,0.8939716123003811
203.99346178338357,305.82772493201463,110.61127066933702,0.39968582438858374
195.73590743853737,300.5354229246877,114.9227352589656,0.136323617798629
198.77580640188037,299.7184182271672,119.78583608891844,1.220199538860721
199.68273032592262,297.92869249434835,124.82393322475589,0.01
199.89243489836335,303.53585982715975,130.26615459277667,0.8497439378056477
199.0014088029217,297.63011246716593,135.18272203218203,0.01345458367000793
204.25693946487033,298.3572266415512,140.20636630579799,0.7070140684792076
201.86314602574848,300.7699019322117,145.21541050150395,0.4288827873022822
198.69042460914122,300.89214440296416,151.07082380043522,0.01
197.44412485136075,300.34517583544425,154.79679249180768,1.8164870409423657
199.76272334778022,300.57165227920507,159.74387863546423,1.4872316813666417
199.17814553833253,302.21257742011977,164.59311363587605,1.1653148077229618
200.36646887444383,297.551061936559,170.30798971128775,0.6626272603306073
203.4473314415666,299.6409615734348,175.56448614636045,0.8064241994156511
197.78590863591302,298.21054596208836,179.94302627117256,0.7181544449149609
199.98975626655985,299.67311420295096,184.57992176151873,1.0772658474361663
200.18116981380348,301.2878775865537,189.58775939215437,0.08236114781952983
198.31353945941424,297.56237387915274,195.32529639391234,0.14743024095061547
201.83180508471202,297.34721456452087,200.37162708560172,0.3671531270114705
199.3446538112761,302.0055156506092,205.2715771341526,1.170226721249008
199.6909886415002,298.60811477665857,209.66724514635564,0.49076559568961037
200.35314671690742,297.83122385553327,215.11608066153337,0.6060067509036647
205.03494807506783,303.75368922256337,220.05834290457037,0.16643708506175403
197.07311599632598,298.81858597207304,225.1093442983645,1.005365538358903
198.5418323245128,298.6917071198644,230.4357143889741,0.04092768570874585
197.87517117628087,298.94112114526786,235.11179777438736,0.21964454655471372
196.48454321728673,297.06590950921805,240.33945678153594,2.3600621247285116
